,mwe,label,sentence
0,blow_smoke,L,"Anyway, Jack The Lad said, rehearsing, and blew smoke in his face."
1,blow_smoke,L,"She's lying on the bed, blowing smoke at the ceiling."
2,blow_smoke,L,His father leaned back and blew smoke towards the ceiling.
3,blow_smoke,L,"Let us blow smoke at each other, you and I."
4,blow_smoke,L,"Let us blow smoke at each other, you and I. Smoke gets in your eyes, your green eyes, my icy love."
5,blow_smoke,L,"He took a fresh cigarette offered by somebody else, lit it and then blew the smoke in Harry's face."
6,blow_smoke,L,He blew smoke into the air.
7,blow_smoke,L,This effect is best corrected by observing the exhaust smoke and trimming the model so that the tail boom is pointing in the same direction that the smoke is being blown.
8,blow_smoke,L,The Ulsterman blew smoke towards her.
9,blow_smoke,L,He blew cigarette smoke to sting my eyes.
10,blow_smoke,L,"As pungent smoke was blown into her face, Diana's eyes went red and watery."
11,blow_smoke,L,NO DRAUGHT COWL Prevent downdraught from blowing smoke back into the room with the new Eurocowl.
12,blow_smoke,Q,This one is blowing smoke!
13,blow_smoke,Q,‘Why does he blow out all that smoke?’
14,blow_smoke,L,If you are behind him you can sometimes catch a glimpse of little bits of him because all the smoke is being blown out in the front.
15,blow_smoke,Q,"Mind you, he must have gigantic nose-holes to be able to blow out all that smoke.’"
16,blow_smoke,L,Dodger sighed and blew smoke all over us
17,blow_smoke,L,He blew the smoke to the ceiling.
18,blow_smoke,L,"If you are trapped upstairs by a fire, get everyone into the ‘escape room’, close the door and block any gaps round it with items of clothing or bedding (dampened, if possible) to keep smoke out."
19,blow_smoke,L,He pulled deeply on the cigarette and blew the smoke into Tommy's face.
20,blow_smoke,L,"Philpott exhaled, blowing the smoke upwards."
21,blow_smoke,L,"‘Yes indeed,’ Madame sighed, lighting a fresh cigarette and blowing the smoke out of the side of her mouth, ‘yes, you did very well indeed.’"
22,blow_smoke,L,‘She comes whistling out of the dark when folks is in their beds and the most they'll see of her is her green eyes and the red fires blowing up her smoke.’
23,blow_smoke,L,"And with petulant little movements of her lips and eyes, she challenged them; then reached for a cigarette, and lit it, and blew out thick smoke in irritation."
24,blow_smoke,L,"Kenneth Caitlin lit himself a cigar, blowing the smoke out in huge puffs that swirled around his bald head."
25,blow_smoke,L,He blew cigar smoke in her face.
26,blow_smoke,L,She inhaled deeply and threw her head back to blow the smoke towards the ceiling.
27,blow_smoke,L,The guard blew smoke out through the doorway.
28,blow_smoke,L,He blew Gitane smoke in his employer's direction.
29,blow_smoke,L,He lit a cigarette and blew smoke in her direction.
30,blow_smoke,L,"He lit one, standing beside Donna, blowing smoke out of the window."
31,blow_smoke,L,"He put his cigarette to his lips, drew in smoke, sat silent and impassive for some moments, then blew the smoke out of his nose in two impassive grey plumes."
32,blow_smoke,L,Morris blew smoke down his nose.
33,blow_smoke,L,"Mrs. Mounce blew out cigarette smoke provocatively, narrowing her eyes against its sting."
34,blow_smoke,L,She drew the cigarette from her lips and blew out the smoke thoughtfully.
35,blow_smoke,L,"This ritual having been accomplished, he fell back against the grass and took Cassie's hand lightly in his own."
36,blow_smoke,L,The TV presenter sucked extravagantly on her cigarette and blew out the smoke over her left shoulder.
37,blow_smoke,L,"Jane Pargeter inhaled and blew the smoke out with a pout of self-righteousness, reminding Dexter of a spoilt and naughty child."
38,blow_smoke,L,"Holding the cow's tail he leaned on the hairy back and, empty-eyed, blew smoke from the pipe which like most farmers at a cleansing he had prudently lit at the outset And of course, since the going was heavy, it just would happen that the job took much longer than usual."
39,blow_smoke,L,"That snow's three feet deep!"""
40,blow_smoke,L,He lit one of the cigars which he smoked nonstop and blew rich smoke upwards.
41,blow_smoke,L,She blew smoke serenely as he flicked it at the wall.
42,blow_smoke,L,"When I cannot hold it any longer, I blow the smoke into his mouth."
43,blow_smoke,L,"He gives me another burn and he has one for himself, blowing the smoke back into my mouth afterwards."
44,blow_smoke,L,And he blows the smoke back into my mouth.
45,blow_smoke,L,But they sounded different coming from the Lieutenant's mouth.
