mwe;label;sentence;par
себе на голову;I; -- Сейчас покажу. Вчера получила -- вчера и прочла. Вот здесь в газете Слухи, в петербургской. Эти Слухи стали издаваться с нынешнего года, я ужасно люблю слухи, и подписалась, и вот себе на голову: вот они какие оказались слухи. Вот здесь, вот в этом месте, читайте.;2
себе на голову;I;"отока радости, текущего вином в дженнете*!"" -- сказал аллах пророку нашему. Не надейтесь же вы, винопийцы, испить в раю вина блаженства, обещанного пророком, затем что вы сосете проклятие из бутылок, слепленных неверными руками на вашу пагубу! Не надейтесь и дождя на ваши нивы, за то, что вы иссушили до дна терпение божие огнем порочных желаний ваших! Это вам задаток той мучительной жажды, которою накажетесь в джегеннеме*. И растрескаются ваши уста, прося капли воды, как растрескалась теперь земля, и ни росинка не падет им в освежение. Аллах велик! Вы сами накликали себе на голову проклятие...";2
себе на голову;I; -- Сейчас покажу. Вчера получила -- вчера и прочла. Вот здесь в газете Слухи, в петербургской. Эти Слухи стали издаваться с нынешнего года, я ужасно люблю слухи, и подписалась, и вот себе на голову: вот они какие оказались слухи. Вот здесь, вот в этом месте, читайте.;2
себе на голову;I;"отока радости, текущего вином в дженнете*!"" -- сказал аллах пророку нашему. Не надейтесь же вы, винопийцы, испить в раю вина блаженства, обещанного пророком, затем что вы сосете проклятие из бутылок, слепленных неверными руками на вашу пагубу! Не надейтесь и дождя на ваши нивы, за то, что вы иссушили до дна терпение божие огнем порочных желаний ваших! Это вам задаток той мучительной жажды, которою накажетесь в джегеннеме*. И растрескаются ваши уста, прося капли воды, как растрескалась теперь земля, и ни росинка не падет им в освежение. Аллах велик! Вы сами накликали себе на голову проклятие...";2
себе на голову;L; Я почувствовал, что дальше не выдержу. Какие-то красные круги замелькали перед моими глазами. Я вскочил, выбежал в столовую, схватил графин с водой и вылил себе на голову. Потом, уже не сознавая, что делаю, я бросил графин на землю так, что он рассыпался на тысячу кусков, и выбежал в сени.;2
себе на голову;L; К утру сделалось так худо, что думали,-- кончается. Четвертый день не принимал пищи,-- все время тошнило,-- только съедал иногда ложечку лимонного мороженого почти не говорил, но когда подходила к нему государыня, улыбался ей молча, брал ее руку в свои, целовал, клал себе на голову или на сердце.;2
себе на голову;L;то лицо и близко и издали. Проникнем в чистенький домик отца Туберозова. Может быть, стоя внутри этого дома, найдем средство заглянуть внутрь души его хозяина, как смотрят в стеклянный улей, где пчела строит свой дивный сот, с воском на освещение лица божия, с медом на усладу человека. Но будем осторожны и деликатны: наденем легкие сандалии, чтобы шаги ног наших не встревожили задумчивого и грустного протопопа положим сказочную шапку-невидимку себе на голову, дабы любопытный зрак наш не смущал серьезного взгляда чинного старца, и станем иметь уши наши отверзтыми ко всему, что от него услышим. ;2
себе на голову;L; ждем не дождемся, когда бог избавит нас хоть от одной тетушки, и обещала поставить свечу Николаю чудотворцу, когда ее не будет. Слезы брызнули из глаз чувствительной невесты. Сестра ее не выдержала и, как ястреб, распустив когти, хотела вцепиться мне в волоса, но я успела спасти их, быстро накинув себе на голову передник... Бледная от злости, Степанида Петровна стучала мне в голову кулаком так, что искры сыпались у меня из глаз, но я нарочно смеялась и уверяла, что мне совсем не больно... И она также расплакалась и требовала, чтоб гувернантка строго наказала меня к удивлению моему, гувернантк;2
себе на голову;L;рь ярость его не знала границ. Его опьяняло дыхание невидимого, черный ужас этой дыры, в которую хлестал ливень словно бес разрушения вселился в него. Он набрасывался на попавшуюся под руку часть, колотил по ней, где только мог, коловоротом и пилой, как бы охваченный потребностью обрушить ее тут же себе на голову. Суварин делал свою работу с такой свирепостью, что казалось, он играет ножом, поворачивая его в теле ненавистного живого существа. Он хотел одного -- убить наконец этого злого зверя Воре с вечно разверстой пастью, поглотившего столько человеческих жизней. Суварин вытягивался, ползал,;2
себе на голову;L; -- Ничего! Поедем туда, куда мне заблагорассудится. Благодарите Бога, ваше сиятельство, что вы еще до сих пор живы если б я не приказал вылить себе на голову ведер с десять воды, вы были бы уже на том свете, иначе говоря, в аду во-первых, как изменник, а во-вторых, как кальвинист.;2
себе на голову;L; -- Остолбенел и я, ваше величество, а чтобы с ума не сойти, велел вылить себе на голову несколько ведер воды. Но в то же время душа моя словно переродилась. Я сам испугался того, что наделал. Я не знал, что предпринять: пырнуть ли ножом Богуслава или самого себя? Я метался, как дикий зверь в западне. И уже не служил Радзивиллам, а мстить им хотелось мне теперь. Но вдруг мне Бог внушил одну мысль: я пошел к князю Богуславу в сопровождении нескольких своих людей, сманил его за город, схватил за шиворот и хотел везти его к конфедератам, чтобы ценой его головы купить себе право служить вместе с н;2
себе на голову;L; -- Ничего! Поедем туда, куда мне заблагорассудится. Благодарите Бога, ваше сиятельство, что вы еще до сих пор живы если б я не приказал вылить себе на голову ведер с десять воды, вы были бы уже на том свете, иначе говоря, в аду во-первых, как изменник, а во-вторых, как кальвинист.;2
себе на голову;L; -- Остолбенел и я, ваше величество, а чтобы с ума не сойти, велел вылить себе на голову несколько ведер воды. Но в то же время душа моя словно переродилась. Я сам испугался того, что наделал. Я не знал, что предпринять: пырнуть ли ножом Богуслава или самого себя? Я метался, как дикий зверь в западне. И уже не служил Радзивиллам, а мстить им хотелось мне теперь. Но вдруг мне Бог внушил одну мысль: я пошел к князю Богуславу в сопровождении нескольких своих людей, сманил его за город, схватил за шиворот и хотел везти его к конфедератам, чтобы ценой его головы купить себе право служить вместе с н;2
себе на голову;L;  И это блюдо протодиакон возложил себе на голову. Тем же порядком и священник с крестом, и протодиакон с блюдом на голове, и посадник вышли к народу.;2
себе на голову;L;" Он хотел выразить на словах или мимикой свое общественное положение и не знал, как это сделать. Выручила его картина с крупною надписью: ""Город Венеция"", висевшая на стене. Он указал пальцем на город, потом себе на голову, и таким образом, по его мнению, получилась фраза: ""Я городской голова"". Перс ничего не понял, но улыбнулся и сказал:";2
себе на голову;L; К утру сделалось так худо, что думали,-- кончается. Четвертый день не принимал пищи,-- все время тошнило,-- только съедал иногда ложечку лимонного мороженого почти не говорил, но когда подходила к нему государыня, улыбался ей молча, брал ее руку в свои, целовал, клал себе на голову или на сердце.;2
себе на голову;L;  Потом она перекрестилась, положила книгу себе на голову, трижды повернула ее на голове, щелкнула серебряными застежками и наудачу открыла книгу.;2
себе на голову;L;"три ногою, пролил вино дорогое, замарал ковер многоценный.-- ""Коли пить, так пить из полного"",-- примолвил он, ухватился за столбы, на которых повешен был за ушки котел, вырвал столбы из земли, словно перо из крыла гусиного, приставил котел ко рту, в три роздыха весь выхлебал и порожний котел надел себе на голову. Тут расхохоталась новгородская молодежь, кричит, шумит: ""Этакий пьяница! Как он себе глаза-то налил: и котел-то ему шапкой показался!"" Незнакомый взял в обе руки по столбу, на которых повешен был котел, и обратись к Буслаю сказал: ""На этом что ли силу-то пробовать?"" -- ""Нет! -- отвеч";2
