mwe;label;short_sentence
жирно будет;I;"Нет, о ""пятерке"" говорить конечно даже не приходится, слишком уж это ему жирно будет... Да и о ""четверке"", пожалуй... Но вот удовлетворительной оценки герой наш сегодня, пожалуй что, точно заслуживает!"
жирно будет;I;"В том роде, как тогда на Фотьянке. Так вот какое дело выпадает, а ты: ""жирно будет"". Своего счастья не понимаешь."
жирно будет;I;Больше не проси, потому,-- не дам: больно жирно будет, а три-то могу-- значит, только чтоб на выкуп хватило.
жирно будет;I;"Отпущу я его на заработки! А самому небось батрака нанимать, нет, жирно будет! Они и без того денег почитай что не несут... Довольно и того, коли один Петрушка пойдет в ""рыбацкие слободы""... Ну, да не об этом толк совсем!"
жирно будет;I; -- Ну, уж слуга покорный! -- огрызнулся Сарматов.-- И медведя и спектакль -- жирно будет.
жирно будет;I;Я и сам об этом думаю: родня не малая когда у моей бабки кокошник горел, его дедушка пришел да руки погрел... Эх ты, сердечная!-- прибавил, смеясь, рыбак.-- Сватьев не оберешься, свояков не огребешься-- мало ли на свете всякой шушеры! Всех их в дом пущать-- жирно будет!
гладить по голове;I; Естественно, что при такой официальной жесткости к перебежчикам со стороны советских властей его не могли погладить по голове, несмотря на прошлые заслуги.
гладить по голове;I;А мне не нужны слова, я хочу, чтобы помолчали со мною рядом, потому что родственным душам никакие слова не требуются. Довольно и того, чтобы просто погладить по голове.
гладить по голове;I;- догадывается он.
гладить по голове;I;"Я ощущал ее личность так живо, что мог говорить с ней, находясь один, без чувства странности или нелепости, но когда воспоминание повторяло ее нежный и горячий порыв, причем я не мог прогнать ощущение прильнувшего ко мне тела этого полуребенка, которого надо было, строго говоря, гладить по голове,- я спрашивал себя:
 -Отчего я не был с ней добрее и не поговорил так, как она хотела, ждала, надеялась?"
гладить по голове;L;"Милая, милая Оля, я бы хотела сегодня оказаться рядом с тобой, держать тебя за руку, гладить по голове, говорить  ""B""что ты, все хорошо, ты же знаешь, я тебя люблю ""B""."
гладить по голове;L;К сожалению, Акулине Ивановне некогда было обратить внимание на эту кошачью любезность и вознаградить за нее Ваську куском говядины или хотя погладить по голове.
гладить по голове;L;PЯ метнулся назад к матери, обнял, стал судорожно гладить по голове.P
гладить по голове;L;-- Нечего, нечего гладить по голове! -- шипел юный змееныш, -- мамаша! он меня дерет за то, что я его поймал с Наденькой.
гладить по голове;L;Наконец, он как бы очнулся и сказал с мрачной усмешкой:
гладить по голове;L;А затем, говоря, что он хороший человек, вдруг погладила его рукой по лицу, потрепала по обеим щекам, как маленького ребёнка. Наконец, стала гладить по голове.
гладить по голове;L; -- Подем, подем,-- говорил он.-- Видно, что помочь... А ты не реви, дурашка...-- Он подошел к Павлуше и протянул было к нему свою длинную руку, с намерением погладить по голове но Павлуша испугался и отскочил в сторону, с плаксивым и робким взглядом.
гладить по голове;L; Слезы полились из глаз молодого рыцаря, и он разрыдался. А король склонился над ним, поцеловал его в лоб, стал гладить по голове и утешать:
гладить по голове;L;"  ""B""-- Ты знаешь, я совершенно не чувствую в нем мужчины, -- говорила она иногда с веселым недоумением Аркадию. -- Вот он сидит со мной, и я могу его, как брата, гладить по голове и даже класть голову на колени."
гладить по голове;L;Ранее он казался ей монолитом, глыбой, стеной, а теперь вот проявил слабость. Захотелось его приласкать, погладить по голове, поцеловать в губы первой.
гладить по голове;L;Несмотря на то, что Джек угрожающе скалил зубы, господин старался схватить его за ошейник. Это, правда, ему не удалось, но он успел несколько раз погладить по голове ворчавшего на него Джека.
смотреть в лицо;I;Их любовь --- её и Бориса -- цветет, как пышный и чистый цветок лилии. Она может светло и невинно смотреть в лицо жениху.
смотреть в лицо;I; ... Будем смотреть в лицо жестоким фактам - длительные усилия потребуются ото всех нас прежде, чем в международных делах будет установлена эффективная законность.
смотреть в лицо;I;Мне не стыдно смотреть в лицо своим наставникам: пройдись по полку, тыкай наобум пальцем в каждого встречного -  я девятерых из десяти обставлю и на огневом рубеже, и на полосе препятствий, и на кроссе.
смотреть в лицо;I;Я желала бы жить там, на мрачном лоне ночи, забыть о себе и вечно смотреть в лицо пространству, озаренному сиянием звездных глаз!
смотреть в лицо;I;Значит, нашла мать: оно самое и есть -- ее любимое и потерянное детище. Схватит Счастье его себе и начнет вздымать, чтобы посмотреть в лицо: оно ли доподлинно? Вздымет полегонечку, нежненько-таково, все выше да выше, не торопится.
смотреть в лицо;I;Не то чтобы он боялся умереть - ему приходилось смотреть в лицо смерти - но страх, что нормальная жизнь может кончиться, как это случилось с его отцом.
смотреть в лицо;I;Я всегда была очень искренна с тобой, но ты предпочел верить в собственные и чужие бредни, не желая посмотреть в лицо реальности.
смотреть в лицо;L;   - Ничего себе. Ребра маненько плоски, - хладнокровно ответил тот,стараясь не смотреть в лицо Капитону Аверьянычу.
смотреть в лицо;L;"Когда мать ему раз сделала выговор за то, что он запачкал свою новую курточку, мальчик пришел в ""тихую ярость"" (как он впоследствии сам это описывал в своем дневнике) и, схватив обеими руками курточку, распорол ее сверху донизу, после чего, не говоря ни слова, стал злобно и вызывающе смотреть в лицо кипевшей негодованием матери."
смотреть в лицо;L; Макаров быстро выпил остывший чай и, прищурив глаза, стал смотреть в лицо Клима.
смотреть в лицо;L; - Необходимо, - сказал Клим, стараясь смотреть в лицо ее строгим взглядом.
смотреть в лицо;L;Там примет их Иисус Христос и его Пресвятая Матерь, а они, как золотые пчелки, сядут на ее плаще, будут пребывать во свете и смотреть в лицо Господа.
смотреть в лицо;L;Ажогина-мать подходила то к одному, то к другому гостю и говорила каждому что-нибудь приятное. У нее была манера пристально смотреть в лицо и говорить тихо, как по секрету.
смотреть в лицо;L;Самгин поднял ее, уложил на постель, сел рядом и, поглаживая ладонь ее, старался не смотреть в лицо ее, детски трогательное и как будто виноватое.
