,matrix,accuracy,precision,recall,f1,roc_auc
0,"[[1064   59]
 [ 104 1166]]",0.931884663602173,0.9518367346938775,0.9181102362204724,0.9346693386773547,0.9327861955812958
1,"[[1122    1]
 [   0 1270]]",0.9995821145006268,0.999213217938631,1.0,0.9996064541519087,0.9995547640249332
2,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
3,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
4,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
5,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
6,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
7,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
8,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
9,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
10,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
11,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
