,matrix,accuracy,precision,recall,f1,roc_auc
0,"[[1121    2]
 [   0 1270]]",0.9991642290012537,0.9984276729559748,1.0,0.9992132179386309,0.9991095280498664
1,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
2,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
3,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
4,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
5,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
6,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
7,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
8,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
9,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
10,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
11,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
