,matrix,accuracy,precision,recall,f1,roc_auc
0,"[[1122    1]
 [   0 1270]]",0.9995821145006268,0.999213217938631,1.0,0.9996064541519087,0.9995547640249332
1,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
2,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
3,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
4,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
5,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
6,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
7,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
8,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
9,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
10,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
11,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
