,matrix,accuracy,precision,recall,f1,roc_auc
0,"[[420  68]
 [111 231]]",0.7843373493975904,0.7725752508361204,0.6754385964912281,0.7207488299531981,0.7680471670980731
1,"[[412  76]
 [101 241]]",0.7867469879518072,0.7602523659305994,0.7046783625730995,0.7314112291350531,0.7744703288275333
2,"[[408  80]
 [ 78 264]]",0.8096385542168675,0.7674418604651163,0.7719298245614035,0.7696793002915452,0.8039976991659477
3,"[[398  90]
 [ 51 291]]",0.8301204819277108,0.7637795275590551,0.8508771929824561,0.8049792531120331,0.8332254817371296
4,"[[485   3]
 [  6 336]]",0.9891566265060241,0.9911504424778761,0.9824561403508771,0.9867841409691629,0.9881542996836352
5,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
6,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
7,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
8,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
9,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
10,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
11,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
