,matrix,accuracy,precision,recall,f1,roc_auc
0,"[[441  47]
 [ 95 247]]",0.8289156626506025,0.8401360544217688,0.7222222222222222,0.7767295597484277,0.8129553734061932
1,"[[384 104]
 [ 58 284]]",0.8048192771084337,0.7319587628865979,0.8304093567251462,0.7780821917808219,0.8086473013133928
2,"[[476  12]
 [129 213]]",0.8301204819277108,0.9466666666666667,0.6228070175438597,0.7513227513227514,0.7991084268047166
3,"[[483   5]
 [ 21 321]]",0.9686746987951808,0.9846625766871165,0.9385964912280702,0.9610778443113773,0.9641752947943629
4,"[[486   2]
 [  1 341]]",0.9963855421686747,0.9941690962099126,0.9970760233918129,0.9956204379562044,0.9964888313680376
5,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
6,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
7,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
8,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
9,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
10,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
11,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
