,matrix,accuracy,precision,recall,f1,roc_auc
0,"[[403  85]
 [ 65 277]]",0.8192771084337349,0.7651933701657458,0.8099415204678363,0.7869318181818181,0.8178805962994917
1,"[[475  13]
 [ 75 267]]",0.8939759036144578,0.9535714285714286,0.7807017543859649,0.8585209003215433,0.877031205061835
2,"[[487   1]
 [ 18 324]]",0.9771084337349397,0.9969230769230769,0.9473684210526315,0.9715142428785607,0.9726596203623813
3,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
4,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
5,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
6,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
7,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
8,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
9,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
10,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
11,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
