,matrix,accuracy,precision,recall,f1,roc_auc
0,"[[425  63]
 [116 226]]",0.7843373493975904,0.7820069204152249,0.6608187134502924,0.7163232963549919,0.7658601763972774
1,"[[418  70]
 [ 79 263]]",0.8204819277108434,0.7897897897897898,0.7690058479532164,0.7792592592592592,0.8127816125011984
2,"[[457  31]
 [100 242]]",0.8421686746987952,0.8864468864468864,0.7076023391812866,0.7869918699186991,0.8220388745086762
3,"[[422  66]
 [ 58 284]]",0.8506024096385543,0.8114285714285714,0.8304093567251462,0.8208092485549132,0.847581727542901
4,"[[482   6]
 [  4 338]]",0.9879518072289156,0.9825581395348837,0.9883040935672515,0.9854227405247813,0.9880045058000193
5,"[[488   0]
 [  1 341]]",0.9987951807228915,1.0,0.9970760233918129,0.9985358711566619,0.9985380116959064
6,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
7,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
8,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
9,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
10,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
11,"[[488   0]
 [  1 341]]",0.9987951807228915,1.0,0.9970760233918129,0.9985358711566619,0.9985380116959064
