,matrix,accuracy,precision,recall,f1,auc_pred
0,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
1,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
2,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
3,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
4,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
5,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
6,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
7,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
8,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
9,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
10,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
11,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
12,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
13,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
14,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
15,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
16,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
17,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
18,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
19,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
20,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
21,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
22,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
23,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
24,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
25,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
26,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
27,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
28,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
29,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
30,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
31,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
32,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
33,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
34,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
35,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
36,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
37,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
38,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
39,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
40,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
41,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
42,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
43,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
44,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
45,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
46,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
47,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
48,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
49,"[[2980    0]
 [   0 1720]]",1.0,1.0,1.0,1.0,1.0
