,matrix,accuracy,precision,recall,f1,roc_auc
0,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
1,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
2,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
3,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
4,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
5,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
6,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
7,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
8,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
9,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
10,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
11,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
12,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
13,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
14,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
15,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
16,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
17,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
18,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
19,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
20,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
21,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
22,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
23,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
24,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
25,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
26,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
27,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
28,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
29,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
30,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
31,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
32,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
33,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
34,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
35,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
36,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
37,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
38,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
39,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
40,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
41,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
42,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
43,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
44,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
45,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
46,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
47,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
48,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
49,"[[731   0]
 [  0 371]]",1.0,1.0,1.0,1.0,1.0
