,mwe,label,sentence,type,pred_mean,pred_cls,new_label
40,против течения,I," Но -- надо отдать справедливость -- в ""Петербургских Ведомостях"" поднялся один голос [MASK]. Правда, голос не совсем-то громкий и смелый, но и за то уже великое спасибо! Там была напечатана маленькая статейка: ""Учиться, или не учиться?"" На нее последовал ответ: ""учиться, но как?"" где, конечно, осуждался профессор, ибо автор писал ""в защиту молодого поколения"". Затем в ""Современнике"" в защиту того же ""поколения"" появилась статья: ""Научились ли?"" мечущая перуны гнева и презрения в тупоумных пошляков и проч.",PP,0,0,0
41,против течения,I," Димитрий понял, что [MASK] не поплывешь, и, молча, сидел в углу.",PP,0,0,0
42,против течения,I,"ервое место поставить личность, то непременно одна такая личность будет давить десятки других, более слабых, тогда как для всех должны быть равенство и общечеловеческая справедливость. У Аркадия была ненависть ко всему общепринятому, ко всему установившемуся: он постоянно кипел, горел и во всем шел [MASK], как он говорил. Он вел аскетическую жизнь, делился последней копейкой с товарищем, ругался, когда тот обещал ему скоро отдать. Спал на голых досках. Но что он ненавидел самой острой ненавистью, так это религию, за то, что она заставляла человека смиренно примиряться со злом, вместо т",PP,0,0,0
43,против течения,I,"оей спиной и почти одновременно надели береты. Я ощутил себя прозрачным. Прозрачность тут же родила следующее ощущение - чистоты жизни. Холодной чистоты жизни, которая текла сквозь меня по чётко заявленному руслу. Прозрачная ледяная жизнь струилась во мне по своим делам, а вверх по течению словно бы пробиралась форель, блестя чешуёй, упрямо, целеустремлённо, с рыбьей застылой решимостью, она словно бы выпрыгивала, рвалась против основной жизненной воли. И я вдруг с содроганием ощутил в себе жестокое упрямство. И понял, что оно поведет меня сегодня [MASK]. И наверное, не только сегодня.",PP,0,0,0
44,против течения,I," Но -- надо отдать справедливость -- в ""Петербургских Ведомостях"" поднялся один голос [MASK]. Правда, голос не совсем-то громкий и смелый, но и за то уже великое спасибо! Там была напечатана маленькая статейка: ""Учиться, или не учиться?"" На нее последовал ответ: ""учиться, но как?"" где, конечно, осуждался профессор, ибо автор писал ""в защиту молодого поколения"". Затем в ""Современнике"" в защиту того же ""поколения"" появилась статья: ""Научились ли?"" мечущая перуны гнева и презрения в тупоумных пошляков и проч.",PP,0,0,0
45,против течения,I," Хаос уколами невозможного пытается запутатьумертвитьпобедить и создаёт невнятное серое пространство, где возможно всё, хоть новое семейство крыс на рынке в Лаосе, и разум, если он сдаётся, - засыпает и плывёт в завихрениях общего сумасшествияхаоса, застревает в корягах и камнях, смердит. Чтобы выжить, разум должен быть осторожным и хитрым, оцениватьпредвосхищать провокации. Разум должен, как форель на нерест, идти [MASK], брать пороги только перепрыгнув порог, можно выйти на следующий уровень понимания происходящего в мире. Ты должен этому научиться!",PP,0,0,0
46,против течения,I,"ас стихийно возникло производственное совещание, хочу напомнить вам, что мы находимся на судне, где установлены определенные правила поведения, которые не дано нарушать никому, независимо от ранга. Это в первую очередь относится к вам, Кичко. Доктор права, когда пишет рапорт об антисанитарном состоянии камбуза. Придется разобраться и наказать виновного. Командовать каждому желающему не позволено, особенно тем, кто плывет [MASK]. С сегодняшнего дня все претензии высказывайте на производственных совещаниях или докладывайте своему начальнику. А с форпиком палубная команда сама справится. ",PP,0,0,0
47,против течения,I," -- Плыть по течению, -- перебила Веру Перовская. -- Мы учим плыть [MASK].",PP,0,0,0
48,против течения,I,"ервое место поставить личность, то непременно одна такая личность будет давить десятки других, более слабых, тогда как для всех должны быть равенство и общечеловеческая справедливость. У Аркадия была ненависть ко всему общепринятому, ко всему установившемуся: он постоянно кипел, горел и во всем шел [MASK], как он говорил. Он вел аскетическую жизнь, делился последней копейкой с товарищем, ругался, когда тот обещал ему скоро отдать. Спал на голых досках. Но что он ненавидел самой острой ненавистью, так это религию, за то, что она заставляла человека смиренно примиряться со злом, вместо т",PP,0,0,0
49,против течения,I,"  ""B""-- Можно ли здесь итти  ""B""[MASK] ""B""? И я теперь с новой верой говорю себе, что  ""B""можно ""B""! Я делаю последнюю ставку. И я и ты, мы когда-то верили, что личность должна итти вразрез с массой, так как масса слепа и консервативна, несмотря ни на какую революционность. Для того, чтобы истина имела силу жизни, достаточно двух.",PP,0,0,0
50,против течения,I,"  ""B""Общепринятыми, то есть победившими в Америке 1960-90-х годов, авторы считают эгалитарные (в нашей терминологии   ""B""уравнительские) принципы и идеалы. Видимо, на собственном опыте  ""B""они могли убедиться, как опасно было идти [MASK] в эти годы. Исследователи, пытавшиеся вслух заявить, что показатель интеллекта Ай-Кью ( ""B""IQ ""B"") что-то значит,  пишут они,  или, что интеллектуальные способности в значительной мере являются  ""B""врождёнными, и что их можно замерять в различных индивидуумах  ""B""и сравнивать между собой, расплачивались за это дорогой ценой. Их карьера, семейная жизнь,",PP,0,0,0
51,против течения,I,"ас стихийно возникло производственное совещание, хочу напомнить вам, что мы находимся на судне, где установлены определенные правила поведения, которые не дано нарушать никому, независимо от ранга. Это в первую очередь относится к вам, Кичко. Доктор права, когда пишет рапорт об антисанитарном состоянии камбуза. Придется разобраться и наказать виновного. Командовать каждому желающему не позволено, особенно тем, кто плывет [MASK]. С сегодняшнего дня все претензии высказывайте на производственных совещаниях или докладывайте своему начальнику. А с форпиком палубная команда сама справится. ",PP,0,0,0
52,против течения,I,"  ""B""-- Можно ли здесь итти  ""B""[MASK] ""B""? И я теперь с новой верой говорю себе, что  ""B""можно ""B""! Я делаю последнюю ставку. И я и ты, мы когда-то верили, что личность должна итти вразрез с массой, так как масса слепа и консервативна, несмотря ни на какую революционность. Для того, чтобы истина имела силу жизни, достаточно двух.",PP,0,0,0
53,против течения,I," -- Плыть по течению, -- перебила Веру Перовская. -- Мы учим плыть [MASK].",PP,0,0,0
54,против течения,I,"оей спиной и почти одновременно надели береты. Я ощутил себя прозрачным. Прозрачность тут же родила следующее ощущение - чистоты жизни. Холодной чистоты жизни, которая текла сквозь меня по чётко заявленному руслу. Прозрачная ледяная жизнь струилась во мне по своим делам, а вверх по течению словно бы пробиралась форель, блестя чешуёй, упрямо, целеустремлённо, с рыбьей застылой решимостью, она словно бы выпрыгивала, рвалась против основной жизненной воли. И я вдруг с содроганием ощутил в себе жестокое упрямство. И понял, что оно поведет меня сегодня [MASK]. И наверное, не только сегодня.",PP,0,0,0
55,против течения,I," Димитрий понял, что [MASK] не поплывешь, и, молча, сидел в углу.",PP,0,0,0
