,mean,cls
балансировать на грани,1.0,1.0
гладить по голове,0.6666666666666666,0.7
голова болит,0.5,0.3333333333333333
жирно будет,1.0,0.8333333333333334
за пояс заткнут,0.2222222222222222,0.3333333333333333
каши не свариш,0.5,0.6666666666666666
косой взгляд,1.0,0.25
на мою голову,0.6,0.6
на свою голову,0.5588235294117647,0.4411764705882353
наш брат,0.6,0.4
не за горами,1.0,1.0
не на своем месте,0.6888888888888889,0.6222222222222222
под каблуком,0.8571428571428571,0.7142857142857143
против течения,0.723404255319149,0.7943262411347518
удар ниже пояса,0.6818181818181818,0.5454545454545454
