,matrix,accuracy,precision,recall,f1,roc_auc
0,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
1,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
2,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
3,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
4,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
5,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
6,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
7,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
8,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
9,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
10,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
11,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
12,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
13,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
14,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
15,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
16,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
17,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
18,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
19,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
20,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
21,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
22,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
23,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
24,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
25,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
26,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
27,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
28,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
29,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
30,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
31,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
32,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
33,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
34,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
35,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
36,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
37,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
38,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
39,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
40,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
41,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
42,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
43,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
44,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
45,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
46,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
47,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
48,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
49,"[[651   0]
 [  0 618]]",1.0,1.0,1.0,1.0,1.0
