,matrix,accuracy,precision,recall,f1,roc_auc
0,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
1,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
2,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
3,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
4,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
5,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
6,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
7,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
8,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
9,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
10,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
11,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
12,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
13,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
14,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
15,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
16,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
17,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
18,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
19,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
20,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
21,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
22,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
23,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
24,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
25,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
26,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
27,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
28,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
29,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
30,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
31,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
32,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
33,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
34,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
35,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
36,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
37,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
38,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
39,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
40,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
41,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
42,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
43,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
44,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
45,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
46,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
47,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
48,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
49,"[[1123    0]
 [   0 1270]]",1.0,1.0,1.0,1.0,1.0
