,matrix,accuracy,precision,recall,f1,roc_auc
0,"[[1457   59]
 [  14 2261]]",0.9807438670535479,0.9745689655172414,0.9938461538461538,0.9841131664853101,0.9774639740207022
1,"[[1483   33]
 [  39 2236]]",0.98100764969665,0.9854561480828559,0.9828571428571429,0.9841549295774648,0.9805446664153789
2,"[[1501   15]
 [  57 2218]]",0.98100764969665,0.9932825794894761,0.9749450549450549,0.9840283939662823,0.9825252979210762
3,"[[1435   81]
 [   3 2272]]",0.9778422579794249,0.9655758606034849,0.9986813186813187,0.9818496110630942,0.9726256197628229
4,"[[1479   37]
 [  33 2242]]",0.9815352149828541,0.98376480912681,0.9854945054945055,0.9846288976723759,0.9805440865203398
5,"[[1411  105]
 [   4 2271]]",0.9712476919018729,0.9558080808080808,0.9982417582417582,0.9765641797462911,0.9644902722607208
6,"[[1484   32]
 [  40 2235]]",0.98100764969665,0.9858844287604764,0.9824175824175824,0.9841479524438572,0.9806547014990288
7,"[[1473   43]
 [  28 2247]]",0.981271432339752,0.9812227074235808,0.9876923076923076,0.9844468784227819,0.9796640957986604
8,"[[1447   69]
 [   5 2270]]",0.9804800844104458,0.9705002137665669,0.9978021978021978,0.9839618552232335,0.9761438429644236
9,"[[1498   18]
 [  55 2220]]",0.9807438670535479,0.9919571045576407,0.9758241758241758,0.983824506979836,0.9819754124503466
10,"[[1478   38]
 [  32 2243]]",0.9815352149828541,0.9833406400701447,0.985934065934066,0.9846356453028973,0.98043405143669
11,"[[1485   31]
 [  39 2236]]",0.9815352149828541,0.9863255403617115,0.9828571428571429,0.9845882870981947,0.981204297022239
12,"[[1498   18]
 [  60 2215]]",0.9794249538380374,0.9919390953873712,0.9736263736263736,0.9826974267968056,0.9808765113514454
13,"[[1512    4]
 [  76 2199]]",0.9788973885518333,0.9981842941443486,0.9665934065934066,0.982134881643591,0.9819774420829829
14,"[[1458   58]
 [  19 2256]]",0.9796887364811395,0.9749351771823682,0.9916483516483516,0.9832207452604054,0.9766948882252311
15,"[[1499   17]
 [  53 2222]]",0.9815352149828541,0.9924073246985261,0.9767032967032967,0.9844926894107222,0.982744788193337
16,"[[1483   33]
 [  39 2236]]",0.98100764969665,0.9854561480828559,0.9828571428571429,0.9841549295774648,0.9805446664153789
17,"[[1455   61]
 [  12 2263]]",0.9807438670535479,0.9737521514629949,0.9947252747252747,0.9841269841269842,0.9772439038534025
18,"[[1509    7]
 [  68 2207]]",0.9802163017673438,0.9968383017163505,0.9701098901098901,0.9832924927600801,0.9827462379309345
19,"[[1481   35]
 [  37 2238]]",0.98100764969665,0.9846018477782666,0.9837362637362638,0.9841688654353562,0.9803245962480791
20,"[[1510    6]
 [  68 2207]]",0.9804800844104458,0.9972887483054677,0.9701098901098901,0.9835115864527629,0.9830760532343645
21,"[[1478   38]
 [  34 2241]]",0.98100764969665,0.9833260201842914,0.9850549450549451,0.9841897233201582,0.9799944909971295
22,"[[1474   42]
 [  30 2245]]",0.98100764969665,0.9816353301268037,0.9868131868131869,0.9842174484875056,0.97955435066253
23,"[[1451   65]
 [   8 2267]]",0.9807438670535479,0.9721269296740995,0.9964835164835165,0.9841545474278273,0.976803763518803
24,"[[1486   30]
 [  43 2232]]",0.9807438670535479,0.986737400530504,0.9810989010989011,0.9839100727352875,0.9806549914465482
25,"[[1506   10]
 [  65 2210]]",0.9802163017673438,0.9954954954954955,0.9714285714285714,0.9833147942157954,0.982416132679985
26,"[[1504   12]
 [  61 2214]]",0.9807438670535479,0.9946091644204852,0.9731868131868132,0.98378138191513,0.9826356229522456
27,"[[1454   62]
 [  11 2264]]",0.9807438670535479,0.9733447979363714,0.9951648351648351,0.9841338839382742,0.9771338687697526
28,"[[1501   15]
 [  58 2217]]",0.9807438670535479,0.9932795698924731,0.9745054945054945,0.9838029731528734,0.982305517701296
29,"[[1483   33]
 [  37 2238]]",0.9815352149828541,0.9854689564068693,0.9837362637362638,0.9846018477782666,0.9809842268549394
30,"[[1487   29]
 [  42 2233]]",0.981271432339752,0.9871794871794872,0.9815384615384616,0.9843508926603483,0.9812045869697585
31,"[[1493   23]
 [  49 2226]]",0.98100764969665,0.989773232547799,0.9784615384615385,0.9840848806366047,0.9816450172518775
32,"[[1514    2]
 [  83 2192]]",0.9775784753363229,0.9990884229717412,0.9635164835164836,0.9809800850302082,0.9810986111513816
33,"[[1472   44]
 [  26 2249]]",0.9815352149828541,0.9808111644134322,0.9885714285714285,0.9846760070052539,0.9797738409347908
34,"[[1450   66]
 [  12 2263]]",0.9794249538380374,0.9716616573636754,0.9947252747252747,0.9830582102519548,0.9755948273362522
35,"[[1472   44]
 [  26 2249]]",0.9815352149828541,0.9808111644134322,0.9885714285714285,0.9846760070052539,0.9797738409347908
36,"[[1501   15]
 [  55 2220]]",0.9815352149828541,0.9932885906040269,0.9758241758241758,0.9844789356984478,0.9829648583606366
37,"[[1500   16]
 [  54 2221]]",0.9815352149828541,0.9928475637013858,0.9762637362637363,0.984485815602837,0.9828548232769868
38,"[[1452   64]
 [   9 2266]]",0.9807438670535479,0.9725321888412017,0.996043956043956,0.9841476655808904,0.9769137986024529
39,"[[1495   21]
 [  50 2225]]",0.981271432339752,0.9906500445235975,0.978021978021978,0.9842955098429551,0.9820848676389574
40,"[[1454   62]
 [  12 2263]]",0.9804800844104458,0.9733333333333334,0.9947252747252747,0.9839130434782609,0.9769140885499725
41,"[[1465   51]
 [  21 2254]]",0.98100764969665,0.9778741865509761,0.9907692307692307,0.9842794759825326,0.9785640349096811
42,"[[1465   51]
 [  24 2251]]",0.9802163017673438,0.977845351867941,0.9894505494505494,0.9836137207778021,0.9779046942503407
43,"[[1486   30]
 [  42 2233]]",0.98100764969665,0.9867432611577552,0.9815384615384616,0.9841339797267519,0.9808747716663284
44,"[[1462   54]
 [  16 2259]]",0.9815352149828541,0.9766536964980544,0.9929670329670329,0.9847428073234524,0.9786734900982922
45,"[[1509    7]
 [  64 2211]]",0.981271432339752,0.996844003606853,0.9718681318681318,0.9841976407745381,0.9836253588100553
46,"[[1486   30]
 [  40 2235]]",0.9815352149828541,0.9867549668874173,0.9824175824175824,0.9845814977973568,0.9813143321058888
47,"[[1467   49]
 [  21 2254]]",0.9815352149828541,0.9787234042553191,0.9907692307692307,0.9847094801223242,0.9792236655165415
48,"[[1459   57]
 [  15 2260]]",0.98100764969665,0.9753992231333621,0.9934065934065934,0.9843205574912892,0.9779038244077823
49,"[[1475   41]
 [  29 2246]]",0.9815352149828541,0.9820725841714036,0.9872527472527473,0.9846558526961859,0.9801039461857404
