,matrix,accuracy,precision,recall,f1,roc_auc
0,"[[1501   15]
 [  57 2218]]",0.98100764969665,0.9932825794894761,0.9749450549450549,0.9840283939662823,0.9825252979210762
1,"[[1476   40]
 [  31 2244]]",0.981271432339752,0.9824868651488616,0.9863736263736264,0.9844264093002852,0.9799942010496099
2,"[[1477   39]
 [  32 2243]]",0.981271432339752,0.9829097283085013,0.985934065934066,0.9844195742813254,0.98010423613326
3,"[[1467   49]
 [  21 2254]]",0.9815352149828541,0.9787234042553191,0.9907692307692307,0.9847094801223242,0.9792236655165415
4,"[[1490   26]
 [  45 2230]]",0.981271432339752,0.9884751773049646,0.9802197802197802,0.9843301699404106,0.9815346922207081
5,"[[1448   68]
 [   4 2271]]",0.98100764969665,0.9709277469003847,0.9982417582417582,0.9843953185955786,0.9766934384876338
6,"[[1468   48]
 [  22 2253]]",0.9815352149828541,0.9791395045632334,0.9903296703296703,0.9847027972027972,0.9793337006001914
7,"[[1493   23]
 [  49 2226]]",0.98100764969665,0.989773232547799,0.9784615384615385,0.9840848806366047,0.9816450172518775
8,"[[1481   35]
 [  35 2240]]",0.9815352149828541,0.9846153846153847,0.9846153846153847,0.9846153846153847,0.9807641566876395
9,"[[1505   11]
 [  64 2211]]",0.9802163017673438,0.995049504950495,0.9718681318681318,0.9833222148098733,0.982306097596335
10,"[[1498   18]
 [  53 2222]]",0.981271432339752,0.9919642857142857,0.9767032967032967,0.9842746400885934,0.9824149728899069
11,"[[1476   40]
 [  32 2243]]",0.98100764969665,0.9824791940429259,0.985934065934066,0.9842035980693286,0.9797744208298298
12,"[[1461   55]
 [  18 2257]]",0.9807438670535479,0.9762110726643599,0.9920879120879121,0.9840854589056028,0.9779041143553017
13,"[[1489   27]
 [  43 2232]]",0.9815352149828541,0.9880478087649402,0.9810989010989011,0.984561093956771,0.9816444373568384
14,"[[1467   49]
 [  22 2253]]",0.981271432339752,0.9787141615986099,0.9903296703296703,0.9844876556696527,0.9790038852967614
15,"[[1495   21]
 [  52 2223]]",0.9807438670535479,0.9906417112299465,0.9771428571428571,0.9838459836246958,0.981645307199397
16,"[[1481   35]
 [  35 2240]]",0.9815352149828541,0.9846153846153847,0.9846153846153847,0.9846153846153847,0.9807641566876395
17,"[[1464   52]
 [  19 2256]]",0.981271432339752,0.9774696707105719,0.9916483516483516,0.9845079642155793,0.9786737800458116
18,"[[1509    7]
 [  67 2208]]",0.9804800844104458,0.9968397291196388,0.9705494505494505,0.9835189309576837,0.9829660181507147
19,"[[1447   69]
 [   4 2271]]",0.9807438670535479,0.9705128205128205,0.9982417582417582,0.9841820151679307,0.9763636231842037
20,"[[1481   35]
 [  37 2238]]",0.98100764969665,0.9846018477782666,0.9837362637362638,0.9841688654353562,0.9803245962480791
21,"[[1458   58]
 [  13 2262]]",0.981271432339752,0.975,0.9942857142857143,0.9845484221980413,0.9780135695439125
22,"[[1458   58]
 [  14 2261]]",0.98100764969665,0.97498921949116,0.9938461538461538,0.9843273835437528,0.9777937893241322
23,"[[1475   41]
 [  30 2245]]",0.981271432339752,0.9820647419072616,0.9868131868131869,0.9844332383249287,0.9798841659659602
24,"[[1499   17]
 [  57 2218]]",0.9804800844104458,0.992393736017897,0.9749450549450549,0.9835920177383592,0.9818656673142161
25,"[[1461   55]
 [  15 2260]]",0.9815352149828541,0.9762419006479481,0.9934065934065934,0.9847494553376905,0.9785634550146424
26,"[[1451   65]
 [   6 2269]]",0.981271432339752,0.9721508140531276,0.9973626373626374,0.9845953569103927,0.9772433239583636
27,"[[1495   21]
 [  49 2226]]",0.9815352149828541,0.9906542056074766,0.9784615384615385,0.9845201238390093,0.9823046478587376
28,"[[1462   54]
 [  17 2258]]",0.981271432339752,0.976643598615917,0.9925274725274725,0.9845214737301068,0.978453709878512
29,"[[1507    9]
 [  65 2210]]",0.9804800844104458,0.9959441189725101,0.9714285714285714,0.9835336003560302,0.9827459479834151
30,"[[1450   66]
 [   6 2269]]",0.98100764969665,0.9717344753747323,0.9973626373626374,0.9843817787418656,0.9769135086549335
31,"[[1482   34]
 [  38 2237]]",0.98100764969665,0.9850286217525319,0.9832967032967033,0.9841619005719314,0.9804346313317289
32,"[[1496   20]
 [  51 2224]]",0.981271432339752,0.9910873440285205,0.9775824175824176,0.9842885594158,0.9821949027226072
33,"[[1460   56]
 [  14 2261]]",0.9815352149828541,0.9758308157099698,0.9938461538461538,0.9847560975609756,0.9784534199309926
34,"[[1499   17]
 [  54 2221]]",0.981271432339752,0.9924039320822162,0.9762637362637363,0.9842676711721693,0.9825250079735568
35,"[[1502   14]
 [  58 2217]]",0.98100764969665,0.9937247870909905,0.9745054945054945,0.9840213049267643,0.9826353330047262
36,"[[1499   17]
 [  55 2220]]",0.98100764969665,0.9924005364327224,0.9758241758241758,0.9840425531914895,0.9823052277537766
37,"[[1475   41]
 [  30 2245]]",0.981271432339752,0.9820647419072616,0.9868131868131869,0.9844332383249287,0.9798841659659602
38,"[[1460   56]
 [  15 2260]]",0.981271432339752,0.9758203799654577,0.9934065934065934,0.9845349597037683,0.9782336397112124
39,"[[1476   40]
 [  30 2245]]",0.9815352149828541,0.9824945295404814,0.9868131868131869,0.9846491228070177,0.9802139812693902
40,"[[1448   68]
 [   6 2269]]",0.9804800844104458,0.9709028669234061,0.9973626373626374,0.9839549002601908,0.9762538780480733
41,"[[1451   65]
 [   7 2268]]",0.98100764969665,0.9721388769824261,0.9969230769230769,0.984375,0.9770235437385832
42,"[[1500   16]
 [  59 2216]]",0.9802163017673438,0.992831541218638,0.9740659340659341,0.9833592189926782,0.9817559221780857
43,"[[1452   64]
 [   8 2267]]",0.98100764969665,0.9725439725439725,0.9964835164835165,0.9843682153712549,0.9771335788222332
44,"[[1464   52]
 [  18 2257]]",0.9815352149828541,0.9774794283239497,0.9920879120879121,0.9847294938917976,0.9788935602655918
45,"[[1468   48]
 [  23 2252]]",0.981271432339752,0.9791304347826087,0.9898901098901098,0.98448087431694,0.9791139203804111
46,"[[1475   41]
 [  31 2244]]",0.98100764969665,0.9820568927789934,0.9863736263736264,0.9842105263157895,0.9796643857461799
47,"[[1495   21]
 [  52 2223]]",0.9807438670535479,0.9906417112299465,0.9771428571428571,0.9838459836246958,0.981645307199397
48,"[[1452   64]
 [   7 2268]]",0.981271432339752,0.9725557461406518,0.9969230769230769,0.9845886694161058,0.9773533590420134
49,"[[1508    8]
 [  64 2211]]",0.98100764969665,0.9963947724200091,0.9718681318681318,0.9839786381842456,0.9832955435066253
