,matrix,accuracy,precision,recall,f1,auc_pred
0,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
1,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
2,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
3,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
4,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
5,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
6,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
7,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
8,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
9,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
10,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
11,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
12,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
13,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
14,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
15,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
16,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
17,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
18,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
19,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
20,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
21,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
22,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
23,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
24,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
25,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
26,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
27,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
28,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
29,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
30,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
31,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
32,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
33,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
34,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
35,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
36,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
37,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
38,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
39,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
40,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
41,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
42,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
43,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
44,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
45,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
46,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
47,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
48,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
49,"[[1516    0]
 [   0 4391]]",1.0,1.0,1.0,1.0,1.0
