,matrix,accuracy,precision,recall,f1,roc_auc
0,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
1,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
2,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
3,"[[488   0]
 [  1 341]]",0.9987951807228915,1.0,0.9970760233918129,0.9985358711566619,0.9985380116959064
4,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
5,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
6,"[[488   0]
 [  1 341]]",0.9987951807228915,1.0,0.9970760233918129,0.9985358711566619,0.9985380116959064
7,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
8,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
9,"[[485   3]
 [  1 341]]",0.9951807228915662,0.9912790697674418,0.9970760233918129,0.9941690962099125,0.995464241204103
10,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
11,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
12,"[[488   0]
 [  1 341]]",0.9987951807228915,1.0,0.9970760233918129,0.9985358711566619,0.9985380116959064
13,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
14,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
15,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
16,"[[488   0]
 [  1 341]]",0.9987951807228915,1.0,0.9970760233918129,0.9985358711566619,0.9985380116959064
17,"[[488   0]
 [  1 341]]",0.9987951807228915,1.0,0.9970760233918129,0.9985358711566619,0.9985380116959064
18,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
19,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
20,"[[487   1]
 [  1 341]]",0.9975903614457832,0.9970760233918129,0.9970760233918129,0.9970760233918129,0.997513421531972
21,"[[488   0]
 [  1 341]]",0.9987951807228915,1.0,0.9970760233918129,0.9985358711566619,0.9985380116959064
22,"[[488   0]
 [  1 341]]",0.9987951807228915,1.0,0.9970760233918129,0.9985358711566619,0.9985380116959064
23,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
24,"[[488   0]
 [  1 341]]",0.9987951807228915,1.0,0.9970760233918129,0.9985358711566619,0.9985380116959064
25,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
26,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
27,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
28,"[[488   0]
 [  1 341]]",0.9987951807228915,1.0,0.9970760233918129,0.9985358711566619,0.9985380116959064
29,"[[488   0]
 [  1 341]]",0.9987951807228915,1.0,0.9970760233918129,0.9985358711566619,0.9985380116959064
30,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
31,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
32,"[[474  14]
 [  1 341]]",0.9819277108433735,0.9605633802816902,0.9970760233918129,0.9784791965566715,0.9841937494008244
33,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
34,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
35,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
36,"[[488   0]
 [  1 341]]",0.9987951807228915,1.0,0.9970760233918129,0.9985358711566619,0.9985380116959064
37,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
38,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
39,"[[488   0]
 [  1 341]]",0.9987951807228915,1.0,0.9970760233918129,0.9985358711566619,0.9985380116959064
40,"[[461  27]
 [  6 336]]",0.9602409638554217,0.9256198347107438,0.9824561403508771,0.9531914893617021,0.9635641357492091
41,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
42,"[[488   0]
 [  1 341]]",0.9987951807228915,1.0,0.9970760233918129,0.9985358711566619,0.9985380116959064
43,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
44,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
45,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
46,"[[484   4]
 [  0 342]]",0.9951807228915662,0.9884393063583815,1.0,0.994186046511628,0.9959016393442622
47,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
48,"[[488   0]
 [  1 341]]",0.9987951807228915,1.0,0.9970760233918129,0.9985358711566619,0.9985380116959064
49,"[[480   8]
 [ 48 294]]",0.9325301204819277,0.9735099337748344,0.8596491228070176,0.9130434782608696,0.9216278400920334
