,matrix,accuracy,precision,recall,f1,roc_auc
0,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
1,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
2,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
3,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
4,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
5,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
6,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
7,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
8,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
9,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
10,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
11,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
12,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
13,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
14,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
15,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
16,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
17,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
18,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
19,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
20,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
21,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
22,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
23,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
24,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
25,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
26,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
27,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
28,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
29,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
30,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
31,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
32,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
33,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
34,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
35,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
36,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
37,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
38,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
39,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
40,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
41,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
42,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
43,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
44,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
45,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
46,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
47,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
48,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
49,"[[488   0]
 [  0 342]]",1.0,1.0,1.0,1.0,1.0
