mwe;label;sentence;par
бабушкины сказки;L;"Л. Прокопьева, Л. Ямнина, Л. Аседа, Л. Северная, Л. Любина, Л. Неней). В 1969 году её стихи были опубликованы в коллективном сборнике таймырских поэтов «Первое солнце». В 1974 году Ненянг стала лауреатом премии Союза журналистов СССР за серию очерков «Я читаю следы». В 1982 году она стала членом  ""Союз писателей СССР""Союза писателей СССР. В 1980-90-е годы в Красноярске были изданы её произведения «Огненный суд» (1981), «Что, отчего, почему» (1984) «Пою о Тундре» (1988), сборник стихов на русском и ненецком языках «Радуга» (1989), сборник ненецкого фольклора «Не только бабушкины сказки» (1992).";2
балансировать на грани;I;"ильм рассказывает об эпизоде  ""Гражданская война в России""Гражданской войны, когда войска под командованием  ""Фрунзе, Михаил Васильевич""М. В. Фрунзе захватили  ""Уфа""Уфу. Начало сюжета относится к февралю 1919 года, когда Фрунзе возглавляет 4-ю армию Красной армии. 4-я армия представляет собой плохо одетую и обутую, плохо вооруженную, и очень недисциплинированную массу. Комиссаров убивают, командиры своевольничают. Фрунзе приходится балансировать на грани, чтобы сплотить армию. Одновременно развивается  ""Весеннее наступление Русской армии (1919)""наступление  ""Русская армия (1919)""Русской армии.";2
белая ворона;I;"Исландский кинематограф отличается своим подходом к отражению реальности. Среди режиссёров можно выделить  ""Фридрик Тор Фридрикссон""Фридрика Тора Фридрикссона и его работу « ""Дети природы""Дети природы»,  ""Кормакур, Балтазар""Бальтазара Кормакура (« ""101 Рейкьявик""101 Рейкьявик», « ""Свадьба белой ночью""Свадьба белой ночью»),  ""Арни Олафур Асгейрссон""Арни Олафура Асгейрссона,  ""Дагур Кари Петурссон""Дагура Кари (« ""Ной — белая ворона""Ной — белая ворона»). Также кадры из Исландии показали и в фильме « ""Невероятная жизнь Уолтера Митти""Невероятная жизнь Уолтера Митти».";2
белая ворона;I;"цами. Озорной, сообразительный и предприимчивый барашек Шон стал популярным персонажем  ""Барашек Шон""одноимённого мультсериала.  Овцы также упоминаются во многих поговорках и идиомах. Так, во многих европейских языках идиома « ""чёрная овца""чёрная овца» является частичным аналогом русских выражений «белая ворона» и «паршивая овца». А вот знаменитая поговорка «уставился, как баран на новые ворота» относится вовсе не к животному: ещё в древности  ""Ассирия""ассирийцы, а затем  ""Древний Рим""римляне, штурмуя вражеские города и крепости, разбивали створки тяжёлым бревном с металлическим набалдашником ";2
белая ворона;I;"есса  ""Немеш Надь, Агнеш""Агнеш Немеш Надь: «Пилинский непохож на других. Непохож каждый, но иные все-таки особенно. В этом смысле Пилинский не похож ни на кого ни в венгерской, ни в мировой поэзии иными словами, он по-настоящему непохожая, глубоко отклоняющаяся от нормы, редкая и невозможная особь, белая ворона, элемент, которому нет места в периодической системе. Когда он шел по улице, какой-нибудь из темных будапештских улиц пятидесятых годов в своем кургузом, слишком узком в шагу пальто, он шел как гонимая легенда. Он и был ею. Гонимой легендой, изгнанной за пределы литературы и не известно";2
белая ворона;I; говорит, что ему несложно внести Олив в компьютерную базу. После этого Олив видит Мисс Калифорнию, подписывающую всем желающим свои фотографии. Олив подходит и спрашивает, любит ли Королева красоты мороженое. Та отвечает, что да, особенно вишнёво-шоколадное. Вдохновлённая, Олив уходит готовиться с матерью за кулисы. Все остальные конкурсантки оказываются густо накрашенными девочками, похожими на кукол в помпезных дорогих платьях. Олив тут словно «белая ворона», она надевает спортивные штаны на липучках, длинный красный галстук под несоразмерным жилетом и чёрный котелок, для конкурса талантов.;2
белая ворона;L;"Символом партии выбрана  ""белая ворона""белая ворона, что представляется попыткой подчеркнуть свою оппозиционность всем ведущим политическим силам.";2
белая ворона;L;В фильме снимается белая ворона. Белая окраска — редчайшее явление среди ворон, тем более ручных.;2
без головы;L;"В  ""Израиль""Израиле, в  ""Гамла (заповедник)""заповеднике Гамла находится Гиват Базак — самое большое в стране поле дольменов. Площадь этого поля 3.5 кв. км. на которых найдено более 700 дольменов. Десять из них было раскопано археологами, девять оказались пустыми, а в десятом найден скелет без головы и левой ноги, ориентированный на восток, более позднего периода нежели сам дольмен.";2
без головы;L;"1984 —  ""Майн Рид""Майн Рид « ""Всадник без головы (роман)""Всадник без головы» — Кассий Колхаун";2
без головы;L;"теля Дж. Хайда ( ), пятнадцатилетней Элизабет Хайд ( ). После небольшого перерыва на медовый месяц, Рид вернулся к литературному творчеству. Его произведения этого периода по-прежнему основаны на приключениях Рида в США. В  ""1865 год в литературе""1865 году выходит прославивший Рида роман « ""Всадник без головы (роман)""Всадник без головы» ( ). В  ""1867 год""1867 году Рид возвращается в  ""Нью-Йорк""Нью-Йорк, где основывает журнал  . Рид рассчитывал на былой успех, но в этот раз американская публика принимает Рида и его новые произведения прохладно. К  ""1870 год""1870 году начинает сказываться ранени";2
без головы;L;"« ""Всадник без головы (роман)""Всадник без головы»";2
без головы;L;К тому же древний Иерихон, вероятно, является «родоначальником» традиции отнимать у покойников черепа (похороны без головы). Вероятно, это связывалось с культом Луны и несло в себе символ надежд на возрождение . Во всяком случае, головы хранились (или хоронились) отдельно от тела. Этот обычай до самых последних лет существовал у самых разных народов земного шара.;2
без головы;L; его в степень религиозной обязанности шииты связывают с именем шестого имама Джафара ас-Садика (ум. в   г.). В отличии от суннитов, допускавших такию как средство самозащиты, средневековые шиитские богословы рассматривали её как долг и обязанность общественного значения. Шиитские богословы посвящали отдельные главы под названием Китаб хукук ал-ихван (книга интересов братьев  . Для доказательства обязательности такии имамитские факихи ссылались также на высказывание пророка Мухаммада «Верующий без такии подобен телу без головы» и прибегали к аллегорическому толкованию ряда коранических аятов .;2
через голову;I;"Шварц принял должность без согласования с командованием Вооружённых сил Юга России. Причинами перемен в русском командовании, возможно, стали разочарование французов в эффективности белого движения, а также европейская известность генерала как военного инженера. Действия французов и генерала Шварца через голову генерала  ""Деникин, Антон Иванович""А. И. Деникина вызвали протест последнего представители  ""Добровольческая армия""Добровольческой армии в Одессе также не признали назначения Шварца. В апреле 1919 года французские войска  ""Одесская эвакуация (1919)""эвакуировались из Одессы. Шварц выехал";3
